PROPERTYADDRESS,PROPERTYCITY,PROPERTYZIP,MUNIDESC,SCHOOLDESC,NEIGHDESC,TAXDESC,OWNERDESC,CLASSDESC,USEDESC,LOTAREA,HOMESTEADFLAG,ABATEMENTFLAG,RECORDDATE,SALEDATE,SALEPRICE,SALEDESC,PREVSALEDATE,PREVSALEPRICE,COUNTYBUILDING,COUNTYLAND,COUNTYTOTAL,COUNTYEXEMPTBLDG,LOCALBUILDING,LOCALLAND,LOCALTOTAL,FAIRMARKETBUILDING,FAIRMARKETLAND,FAIRMARKETTOTAL,STYLEDESC,STORIES,YEARBLT,EXTFINISH_DESC,ROOFDESC,BASEMENTDESC,GRADE,GRADEDESC,CONDITION,CONDITIONDESC,CDUDESC,TOTALROOMS,BEDROOMS,FULLBATHS,HALFBATHS,HEATINGCOOLINGDESC,FIREPLACES,BSMTGARAGE
SMALLMAN ST,PITTSBURGH,15222,2nd Ward - PITTSBURGH,City Of Pittsburgh,STRIP LOFT,20 - Taxable,REGULAR,RESIDENTIAL,CONDOMINIUM,0,HOM,,10-02-2014,09-24-2014,370000.0,QUIT CLAIM / SPEC WARRNTY,01-26-2011,311000.0,352000,0,352000,0,370000,0,370000,370000,0,370000,CONDO,1.0,2010.0,Brick,ROLL,None,X,EXCELLENT,2.0,GOOD,GOOD,3.0,2.0,1.0,1.0,Central Heat with AC,,
WEBSTER AVE,PITTSBURGH,15219,3rd Ward - PITTSBURGH,City Of Pittsburgh,CRAWFORD - ROBERTS,10 - Exempt,CORPORATION,RESIDENTIAL,VACANT LAND,2667,,,,11-19-1999,1.0,LOVE&AFFECTION,,,0,3500,3500,0,0,3500,3500,0,3500,3500,,,,,,,,,,,,,,,,,,
KIRKPATRICK ST,PITTSBURGH,15219,4th Ward - PITTSBURGH,City Of Pittsburgh,10404,20 - Taxable,REGULAR,RESIDENTIAL,ROWHOUSE,864,,,11-20-2014,11-18-2014,900.0,QUIT CLAIM / SPEC WARRNTY,03-30-1957,0.0,10400,1400,11800,0,10400,1400,11800,10400,1400,11800,ROW END,2.0,1900.0,Frame,SHINGLE,Full,D-,BELOW AVERAGE -,4.0,FAIR,FAIR,4.0,2.0,1.0,1.0,Central Heat,0.0,0.0
PARKMAN AVE,PITTSBURGH,15213,4th Ward - PITTSBURGH,City Of Pittsburgh,10401,20 - Taxable,CORPORATION,RESIDENTIAL,SINGLE FAMILY,15188,HOM,,07-01-2013,07-01-2013,1.0,MULTI-PARCEL SA,06-05-1986,235000.0,383200,163800,547000,0,401200,163800,565000,401200,163800,565000,OLD STYLE,2.0,1920.0,Brick,SLATE,Full,X,EXCELLENT,3.0,AVERAGE,GOOD,9.0,4.0,3.0,1.0,Central Heat with AC,2.0,1.0
PARKMAN AVE,PITTSBURGH,15213,4th Ward - PITTSBURGH,City Of Pittsburgh,10401,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,8475,,,10-07-2016,09-30-2016,825000.0,SALE NOT ANALYZ,12-05-1988,185000.0,288700,161300,450000,0,288700,161300,450000,288700,161300,450000,OLD STYLE,2.0,1910.0,Brick,SLATE,Full,X,EXCELLENT,3.0,AVERAGE,AVERAGE,9.0,6.0,3.0,1.0,Central Heat with AC,2.0,1.0
TENNYSON AVE,PITTSBURGH,15213,4th Ward - PITTSBURGH,City Of Pittsburgh,10401,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,11050,,,06-25-2014,06-25-2014,920000.0,OTHER INVALID,02-09-2006,650070.0,672800,162200,835000,0,672800,162200,835000,672800,162200,835000,OLD STYLE,3.0,1909.0,Brick,SLATE,Full,X,EXCELLENT,2.0,GOOD,GOOD,11.0,7.0,4.0,2.0,Central Heat,1.0,0.0
BIGELOW BLVD,PITTSBURGH,15213,4th Ward - PITTSBURGH,City Of Pittsburgh,10401,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,10227,HOM,,,06-09-1988,320000.0,VALID SALE,,,593500,161900,755400,0,611500,161900,773400,611500,161900,773400,OLD STYLE,2.0,1928.0,Brick,SLATE,Part,X,EXCELLENT,2.0,GOOD,GOOD,7.0,2.0,3.0,1.0,Central Heat with AC,1.0,0.0
BIGELOW BLVD,PITTSBURGH,15213,4th Ward - PITTSBURGH,City Of Pittsburgh,10401,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,11080,HOM,,,10-15-1987,270000.0,VALID SALE,,,609300,162300,771600,0,627300,162300,789600,627300,162300,789600,OLD STYLE,3.0,1903.0,Brick,SHINGLE,Full,X,EXCELLENT,2.0,GOOD,GOOD,10.0,7.0,4.0,0.0,Central Heat,1.0,0.0
BEELEN ST,PITTSBURGH,15213,4th Ward - PITTSBURGH,City Of Pittsburgh,10404,20 - Taxable,REGULAR,RESIDENTIAL,VACANT LAND,2809,,,05-11-2007,05-11-2007,3019.0,CITY TREASURER,01-19-1990,0.0,0,3100,3100,0,0,3100,3100,0,3100,3100,,,,,,,,,,,,,,,,,,
LOTHROP ST,PITTSBURGH,15213,4th Ward - PITTSBURGH,City Of Pittsburgh,PITTSBURGH URBAN,10 - Exempt,CORPORATION,GOVERNMENT,OWNED BY COLLEGE/UNIV/ACADEMY,4539,,,,10-18-1921,0.0,NOT APPLICABLE,,,0,90800,90800,0,0,90800,90800,0,90800,90800,,,,,,,,,,,,,,,,,,
FORBES AVE,PITTSBURGH,15213,4th Ward - PITTSBURGH,City Of Pittsburgh,PITTSBURGH URBAN,20 - Taxable,CORPORATION,COMMERCIAL,RETL/OFF OVER,19070,,,07-20-2004,07-20-2004,2750000.0,VALID SALE,07-09-1998,10.0,3930400,1131600,5062000,0,3930400,1131600,5062000,3930400,1131600,5062000,,,,,,,,,,,,,,,,,,
OAKLAND AVE,PITTSBURGH,15213,4th Ward - PITTSBURGH,City Of Pittsburgh,10403,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,5500,,,,09-19-1994,1.0,LOVE&AFFECTION,,,58700,22800,81500,0,58700,22800,81500,58700,22800,81500,SEMI DETACHED,2.0,1910.0,Brick,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,0.0,0.0
MEYRAN AVE,PITTSBURGH,15213,4th Ward - PITTSBURGH,City Of Pittsburgh,PITTSBURGH URBAN,20 - Taxable,CORPORATION,COMMERCIAL,APART: 5-19 UNITS,6244,,,12-06-2012,12-06-2012,1.0,MULTI-PARCEL SA,07-31-1990,225000.0,309900,100000,409900,0,309900,100000,409900,309900,100000,409900,COLONIAL,2.0,1940.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,2.0,GOOD,AVERAGE,5.0,2.0,1.0,0.0,Central Heat,0.0,0.0
BOUNDARY ST,PITTSBURGH,15213,4th Ward - PITTSBURGH,City Of Pittsburgh,10403,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,VACANT LAND,990,,,,03-04-1975,14000.0,VALID SALE,,,0,4500,4500,0,0,4500,4500,0,4500,4500,,,,,,,,,,,,,,,,,,
LAWN ST,PITTSBURGH,15213,4th Ward - PITTSBURGH,City Of Pittsburgh,PITTSBURGH URBAN,10 - Exempt,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,234,,,,06-26-1968,0.0,LOVE&AFFECTION,,,0,300,300,0,0,300,300,0,300,300,,,,,,,,,,,,,,,,,,
HARDIE WAY,PITTSBURGH,15213,4th Ward - PITTSBURGH,City Of Pittsburgh,10403,20 - Taxable,REGULAR,RESIDENTIAL,ROWHOUSE,845,,,09-23-2009,09-23-2009,20000.0,OTHER,11-25-1992,17000.0,33900,15100,49000,0,33900,15100,49000,33900,15100,49000,ROW END,2.0,1900.0,Brick,ROLL,Full,D+,BELOW AVERAGE +,3.0,AVERAGE,AVERAGE,4.0,2.0,1.0,0.0,Central Heat,0.0,0.0
CATO ST,PITTSBURGH,15213,4th Ward - PITTSBURGH,City Of Pittsburgh,10403,20 - Taxable,REGULAR-ETAL,RESIDENTIAL,ROWHOUSE,2084,,,11-16-2015,07-31-2015,1.0,LOVE&AFFECTION,01-02-2007,1.0,16700,20600,37300,0,16700,20600,37300,16700,20600,37300,ROW END,2.0,1900.0,Brick,SHINGLE,Full,D+,BELOW AVERAGE +,5.0,POOR,POOR,8.0,5.0,1.0,1.0,Central Heat,0.0,0.0
WELLSFORD ST,PITTSBURGH,15213,4th Ward - PITTSBURGH,City Of Pittsburgh,10403,20 - Taxable,CORPORATION,RESIDENTIAL,THREE FAMILY,1606,,,02-11-2014,02-11-2014,785000.0,MULTI-PARCEL SA,08-24-1999,53000.0,155700,29700,185400,0,155700,29700,185400,155700,29700,185400,MULTI-FAMILY,3.0,1910.0,Brick,ROLL,Full,D+,BELOW AVERAGE +,3.0,AVERAGE,AVERAGE,8.0,4.0,3.0,0.0,Central Heat,0.0,0.0
HODGE ST,PITTSBURGH,15213,4th Ward - PITTSBURGH,City Of Pittsburgh,10403,20 - Taxable,CORPORATION,RESIDENTIAL,VACANT LAND,6300,,,,02-28-1997,100000.0,OTHER,,,0,540,540,0,0,540,540,0,540,540,,,,,,,,,,,,,,,,,,
ROMEO ST,PITTSBURGH,15213,4th Ward - PITTSBURGH,City Of Pittsburgh,PITTSBURGH URBAN,10 - Exempt,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,6800,,,,11-23-1912,0.0,LOVE&AFFECTION,,,0,9500,9500,0,0,9500,9500,0,9500,9500,,,,,,,,,,,,,,,,,,
S CRAIG ST,PITTSBURGH,15213,4th Ward - PITTSBURGH,City Of Pittsburgh,PITTSBURGH URBAN,20 - Taxable,CORPORATION,COMMERCIAL,SMALL DETACHED RET(UNDER 10000),5850,,,,09-18-1995,350000.0,VALID SALE,,,394600,138800,533400,0,394600,138800,533400,394600,138800,533400,,,,,,,,,,,,,,,,,,
WEBSTER TER,PITTSBURGH,15219,5th Ward - PITTSBURGH,City Of Pittsburgh,10503,20 - Taxable,CORPORATION,RESIDENTIAL,ROWHOUSE,1401,,,02-04-2015,02-04-2015,5457.0,GOVT SALE,03-30-2007,9250.0,16800,7800,24600,0,16800,7800,24600,16800,7800,24600,ROW END,2.0,1926.0,Brick,ROLL,Full,D+,BELOW AVERAGE +,5.0,POOR,POOR,5.0,2.0,1.0,0.0,Central Heat,0.0,0.0
FILMORE ST,PITTSBURGH,15213,4th Ward - PITTSBURGH,City Of Pittsburgh,10403,10 - Exempt,CORPORATION,GOVERNMENT,OWNED BY COLLEGE/UNIV/ACADEMY,1824,,,06-01-2011,06-01-2011,366150.0,SALE NOT ANALYZ,06-12-2008,325000.0,140300,30700,171000,0,140300,30700,171000,140300,30700,171000,TOWNHOUSE,3.0,1999.0,Frame,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,VERY GOOD,7.0,3.0,1.0,1.0,Central Heat with AC,0.0,1.0
BEDFORD AVE,PITTSBURGH,15219,5th Ward - PITTSBURGH,City Of Pittsburgh,PITTSBURGH URBAN,20 - Taxable,CORPORATION,COMMERCIAL,"CHURCHES, PUBLIC WORSHIP",1444,,,,02-16-1977,800.0,LOVE&AFFECTION,,,2500,25800,28300,0,2500,25800,28300,2500,25800,28300,,,,,,,,,,,,,,,,,,
ERIN ST,PITTSBURGH,15219,5th Ward - PITTSBURGH,City Of Pittsburgh,10502,10 - Exempt,CORPORATION,RESIDENTIAL,VACANT LAND,1840,,,02-01-2007,02-01-2007,1.0,MULTI-PARCEL SA,01-11-2001,1.0,0,20500,20500,0,0,20500,20500,0,20500,20500,,,,,,,,,,,,,,,,,,
ELMORE ST,PITTSBURGH,15219,5th Ward - PITTSBURGH,City Of Pittsburgh,10503,10 - Exempt,CORPORATION,GOVERNMENT,MUNICIPAL GOVERNMENT,1269,,,03-22-2011,03-22-2011,1.0,OTHER INVALID,08-06-1990,5162.0,0,500,500,0,0,500,500,0,500,500,,,,,,,,,,,,,,,,,,
BALBOA ST,PITTSBURGH,15213,5th Ward - PITTSBURGH,City Of Pittsburgh,10503,20 - Taxable,CORPORATION,RESIDENTIAL,VACANT LAND,3389,,,10-30-2015,10-30-2015,7478.0,GOVT SALE,12-06-1982,1000.0,0,16800,16800,0,0,16800,16800,0,16800,16800,,,,,,,,,,,,,,,,,,
BRYN MAWR RD,PITTSBURGH,15219,5th Ward - PITTSBURGH,City Of Pittsburgh,PITTSBURGH URBAN,20 - Taxable,CORPORATION,COMMERCIAL,APART: 5-19 UNITS,6583,,,04-14-2015,04-06-2015,325000.0,QUIT CLAIM / SPEC WARRNTY,06-25-2003,1.0,180000,60000,240000,0,180000,60000,240000,180000,60000,240000,,,,,,,,,,,,,,,,,,
BIGELOW BLVD,PITTSBURGH,15213,5th Ward - PITTSBURGH,City Of Pittsburgh,10503,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,3652,HOM,,,05-04-1982,0.0,LOVE&AFFECTION,,,14900,13000,27900,0,32900,13000,45900,32900,13000,45900,OLD STYLE,2.0,1930.0,Brick,SHINGLE,Full,C+,AVERAGE +,3.0,AVERAGE,FAIR,6.0,5.0,1.0,1.0,Central Heat,0.0,0.0
ANAHEIM ST,PITTSBURGH,15219,5th Ward - PITTSBURGH,City Of Pittsburgh,10503,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,1500,,,03-28-2011,03-28-2011,0.0,LOVE&AFFECTION,08-16-1996,1.0,5400,8000,13400,0,5400,8000,13400,5400,8000,13400,,,,,,,,,,,,,,,,,,
ANAHEIM ST,PITTSBURGH,15219,5th Ward - PITTSBURGH,City Of Pittsburgh,10503,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,1500,,,10-22-2015,10-08-2015,34500.0,MULTI-PARCEL SA,01-17-2013,36500.0,50200,13000,63200,0,50200,13000,63200,50200,13000,63200,OLD STYLE,2.0,1900.0,Brick,ROLL,Full,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,6.0,3.0,1.0,0.0,Central Heat,0.0,0.0
LIGONIER ST,PITTSBURGH,15201,6th Ward - PITTSBURGH,City Of Pittsburgh,10601,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,SINGLE FAMILY,2000,HOM,,12-28-2012,12-28-2012,1.0,LOVE&AFFECTION,02-09-1990,1.0,12200,21000,33200,0,30200,21000,51200,30200,21000,51200,OLD STYLE,2.0,1900.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,4.0,FAIR,FAIR,6.0,3.0,1.0,0.0,Central Heat,0.0,0.0
DOWNING ST,PITTSBURGH,15219,6th Ward - PITTSBURGH,City Of Pittsburgh,10601,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,1500,HOM,,09-27-2010,09-27-2010,1.0,LOVE&AFFECTION,06-29-1981,1.0,12100,19500,31600,0,30100,19500,49600,30100,19500,49600,OLD STYLE,2.0,1900.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,3.0,AVERAGE,FAIR,5.0,2.0,1.0,0.0,Central Heat,1.0,0.0
DENNY ST,PITTSBURGH,15201,6th Ward - PITTSBURGH,City Of Pittsburgh,10601,20 - Taxable,REGULAR,RESIDENTIAL,RES AUX BUILDING (NO HOUSE),1300,,,,08-31-2001,1.0,LOVE&AFFECTION,,,4800,3900,8700,0,4800,3900,8700,4800,3900,8700,,,,,,,,,,,,,,,,,,
LIBERTY AVE,PITTSBURGH,15224,6th Ward - PITTSBURGH,City Of Pittsburgh,10601,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,2000,HOM,,07-30-2004,07-30-2004,50000.0,VALID SALE,05-05-1950,0.0,7200,21000,28200,0,25200,21000,46200,25200,21000,46200,OLD STYLE,2.0,1900.0,Frame,SHINGLE,Full,D+,BELOW AVERAGE +,3.0,AVERAGE,FAIR,6.0,2.0,1.0,0.0,Central Heat,0.0,0.0
36TH ST,PITTSBURGH,15201,6th Ward - PITTSBURGH,City Of Pittsburgh,10601,20 - Taxable,REGULAR,RESIDENTIAL,TWO FAMILY,1580,,,,02-02-2000,1.0,LOVE&AFFECTION,,,39800,19700,59500,0,39800,19700,59500,39800,19700,59500,MULTI-FAMILY,2.0,1920.0,Brick,SHINGLE,Full,D+,BELOW AVERAGE +,4.0,FAIR,FAIR,10.0,4.0,2.0,0.0,Central Heat,0.0,0.0
PENN AVE,PITTSBURGH,15201,6th Ward - PITTSBURGH,City Of Pittsburgh,PITTSBURGH URBAN,20 - Taxable,CORPORATION,COMMERCIAL,SMALL DETACHED RET(UNDER 10000),1700,,,11-22-2006,11-22-2006,30000.0,VALID SALE,09-11-2003,1.0,38600,53600,92200,0,38600,53600,92200,38600,53600,92200,,,,,,,,,,,,,,,,,,
LIGONIER ST,PITTSBURGH,15201,6th Ward - PITTSBURGH,City Of Pittsburgh,10601,20 - Taxable,REGULAR,RESIDENTIAL,VACANT LAND,980,,,05-08-2007,05-08-2007,200.0,SALE NOT ANALYZ,03-26-2004,5958.0,0,17900,17900,0,0,17900,17900,0,17900,17900,,,,,,,,,,,,,,,,,,
LIGONIER ST,PITTSBURGH,15201,6th Ward - PITTSBURGH,City Of Pittsburgh,10601,20 - Taxable,CORPORATION,RESIDENTIAL,SINGLE FAMILY,1281,,,12-23-2011,12-23-2011,31000.0,SALE NOT ANALYZ,05-13-2011,210000.0,100400,18800,119200,0,100400,18800,119200,100400,18800,119200,SEMI DETACHED,2.0,1900.0,Frame,ROLL,Full,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,8.0,4.0,2.0,0.0,Central Heat,0.0,0.0
HOWLEY ST,PITTSBURGH,15224,6th Ward - PITTSBURGH,City Of Pittsburgh,10601,20 - Taxable,REGULAR,RESIDENTIAL,SINGLE FAMILY,1940,,,,02-21-1996,30000.0,OTHER VALID,,,67300,20800,88100,0,67300,20800,88100,67300,20800,88100,OLD STYLE,2.0,1900.0,Brick,SHINGLE,Full,C-,AVERAGE -,3.0,AVERAGE,AVERAGE,5.0,2.0,1.0,0.0,Central Heat,0.0,0.0
CENTRE AVE,PITTSBURGH,15232,7th Ward - PITTSBURGH,City Of Pittsburgh,MARKET HOOSE,20 - Taxable,REGULAR,RESIDENTIAL,CONDOMINIUM,0,,,07-10-2006,07-20-2006,286900.0,NO ASSESSED VAL,,,255800,0,255800,0,255800,0,255800,255800,0,255800,CONDO HR,1.0,2006.0,Brick,ROLL,None,B,GOOD,3.0,AVERAGE,AVERAGE,4.0,2.0,2.0,0.0,Central Heat with AC,,
BAYARD ST,PITTSBURGH,15213,7th Ward - PITTSBURGH,City Of Pittsburgh,SHADYSIDE,20 - Taxable,REGULAR,RESIDENTIAL,TOWNHOUSE,1312,HOM,,,06-08-2000,325000.0,OTHER VALID,12-28-1994,1.0,227400,113600,341000,0,245400,113600,359000,245400,113600,359000,TOWNHOUSE,2.0,1985.0,Brick,SHINGLE,Full,A,VERY GOOD,2.0,GOOD,GOOD,7.0,2.0,3.0,0.0,Central Heat with AC,0.0,0.0
GRAHAM PL,PITTSBURGH,15232,7th Ward - PITTSBURGH,City Of Pittsburgh,SHADYSIDE,20 - Taxable,REGULAR,RESIDENTIAL,TOWNHOUSE,1319,HOM,,05-07-2009,05-07-2009,285000.0,VALID SALE,01-06-2006,1.0,137900,113700,251600,0,155900,113700,269600,155900,113700,269600,TOWNHOUSE,2.0,1987.0,Brick,SHINGLE,Full,B-,GOOD -,2.0,GOOD,GOOD,7.0,2.0,2.0,1.0,Central Heat with AC,1.0,1.0
BAYARD RD,PITTSBURGH,15213,7th Ward - PITTSBURGH,City Of Pittsburgh,AMBERSON TOWERS,20 - Taxable,REGULAR-ETUX OR ET VIR,RESIDENTIAL,CONDOMINIUM,0,HOM,,10-23-2012,10-23-2012,185000.0,VALID SALE,09-07-1978,77000.0,154900,0,154900,0,172900,0,172900,172900,0,172900,CONDO HR,1.0,1969.0,Brick,ROLL,None,C,AVERAGE,3.0,AVERAGE,AVERAGE,7.0,3.0,3.0,0.0,Central Heat with AC,0.0,0.0
